ds,yhat,yhat_lower,yhat_upper,Type
2023-07-25,5154.753259514486,-232.3093082746309,10170.546234291227,Past
2023-07-26,5382.31432578865,-141.70779026319133,10241.526652982737,Past
2023-07-27,4993.996252889743,-201.9557698428228,10239.828943260145,Past
2023-07-28,5228.131818638346,-135.7600120171717,10453.064242747347,Past
2023-07-30,4807.412691732021,-772.4941372643982,9895.843729796843,Past
2023-07-31,5748.373000308975,915.2321073085948,11190.558816505936,Past
2023-08-01,5553.623203586451,619.2659939942434,10320.09296405089,Past
2023-08-02,5746.530449830876,239.03638203691457,10953.682337592769,Past
2023-08-03,5319.826079101762,-105.68314796220633,10356.03077698349,Past
2023-08-04,5512.821350689368,398.24753243598855,10590.29965234963,Past
2023-08-05,5600.8828369572675,429.8622139698034,11227.070545100205,Past
2023-08-06,5005.413073785435,-656.1711431574172,10081.573339472547,Past
2023-08-07,5902.650523917435,801.9399112036148,11037.338273851637,Past
2023-08-08,5665.03468395264,278.11613559210457,10668.30530991168,Past
2023-08-09,5816.657585176929,726.677778612697,10958.582895123773,Past
2023-08-10,5350.874207593494,368.9655186432884,10557.479914928284,Past
2023-08-11,5507.509328060595,322.51707777692894,10737.7886621179,Past
2023-08-12,5562.327765830065,-155.19823736532882,10697.777110842924,Past
2023-08-13,4937.013570639171,28.93740090579224,9803.915880692994,Past
2023-08-14,5807.97205380379,618.585910327632,11160.328799812733,Past
2023-08-15,5547.700257514986,248.40638226868262,10918.623686792156,Past
2023-08-16,5680.246742391347,410.8059019835376,10653.695370786567,Past
2023-08-17,5198.832831560572,-467.1440869729926,10921.615550561773,Past
2023-08-18,5343.072345492113,78.46286104788697,10470.946719227979,Past
2023-08-19,5388.45628121739,24.598030186372394,10649.23994578795,Past
2023-08-20,4756.3474436890665,-376.2198327687065,9796.264837559265,Past
2023-08-21,5622.798388287569,337.4136401932692,10919.45509909103,Past
2023-08-22,5359.937719475152,285.85457330301625,10763.186449492332,Past
2023-08-23,5491.445148539827,135.65370177317405,10739.001837612686,Past
2023-08-24,5010.186949808235,-351.5688163058411,10168.59228429322,Past
2023-08-25,5155.448451697201,-176.11986431726106,10586.830568757301,Past
2023-08-26,5202.429664431974,-440.6953561151234,10243.242478738472,Past
2023-08-27,4572.248776825758,-919.1583879840163,9541.629256396034,Past
2023-08-28,5440.766685282555,310.21787460183805,10632.387280180343,Past
2023-08-29,5179.977486293473,39.18091400225817,10183.819156931593,Past
2023-08-30,5313.485305080747,275.899417152003,10334.870673935826,Past
2023-08-31,4834.139149959866,-588.6252060476693,10184.822492900083,Past
2023-09-01,4981.2625554025935,-219.36803568103562,10067.109469020364,Past
2023-09-02,5030.144311343725,-148.6856031453318,10355.204177524598,Past
2023-09-03,4402.035267348846,-522.5538883443809,9763.042957980924,Past
2023-09-04,5272.9646806015535,280.0496970701468,10714.620533973526,Past
2023-09-05,5015.121382968554,23.948990819770938,10481.520290947405,Past
2023-09-06,5152.320508951276,-46.67966710018306,10310.377024887874,Past
2023-09-07,4677.627855465733,-552.0556286066172,10044.875155329759,Past
2023-09-08,4830.579018112341,-315.50588621514834,9601.633477113066,Past
2023-09-09,4886.659967195881,-191.7568524581115,9999.533898139593,Past
2023-09-10,4267.294396497973,-808.1304810257022,9398.498022980784,Past
2023-09-11,5148.651619939855,-206.94543360785713,10581.447645468754,Past
2023-09-12,4903.020554356331,-738.8517908123034,10194.751166339964,Past
2023-09-13,5054.270741186177,-92.13512435126282,10285.862229990338,Past
2023-09-14,4595.472632568904,-716.4749621343417,9749.96718654778,Past
2023-09-15,4766.1143797654795,-549.0033311300576,9714.39846702993,Past
2023-09-16,4841.581822312373,-626.5493324380787,10254.484803102034,Past
2023-09-17,4243.14698225034,-866.6482129432048,9553.489627458843,Past
2023-09-18,5146.778755823722,-23.06576768656925,10320.563435248034,Past
2023-09-19,4924.521204864234,-643.8056896109601,10391.205726856058,Past
2023-09-20,5099.960219387788,189.03688370528903,10115.157214512912,Past
2023-09-21,4665.850557784568,-736.7862696735344,10331.54450438031,Past
2023-09-22,4861.340254608008,-300.13911358422314,10288.276638433295,Past
2023-09-23,4961.458827184967,158.7081983021265,10069.529864117902,Past
2023-09-24,4387.114308842421,-681.5473829619755,9494.774342119419,Past
2023-09-25,5313.91252518899,112.89113949877402,10865.296755253385,Past
2023-09-26,5113.543749875807,-169.41573248626096,10364.43820973279,Past
2023-09-27,5309.257264570559,143.41158710296395,10646.91616568142,Past
2023-09-28,4893.49560968234,-42.67299488853295,9673.181190919466,Past
2023-09-29,5105.125329660702,-280.1151438738842,9765.789562527652,Past
2023-09-30,5218.839204490604,42.61846673047651,10679.144803883477,Past
2023-10-01,4655.431351139465,-667.9976844506592,9657.48541789725,Past
2023-10-02,5590.345629197629,279.39022651165556,10673.954850897499,Past
2023-10-03,5395.155392961885,-147.0718253284268,10505.167291202915,Past
2023-10-04,5593.038681244971,509.2877616630459,10832.31602751569,Past
2023-10-05,5176.411991064687,-683.6629600494606,10194.159138918787,Past
2023-10-06,5384.159542265292,17.85431905015929,10450.223669630781,Past
2023-10-07,5491.124449925068,638.4802151582885,11111.148497658203,Past
2023-10-08,4918.1068838158135,-55.992128379343285,10112.210024737693,Past
2023-10-09,5840.682743000012,682.0005072190777,11185.593504075552,Past
2023-10-10,5630.588146143164,64.51354411999677,11184.404937263982,Past
2023-10-11,5811.190469603291,592.2484041582484,11190.423517109206,Past
2023-10-12,5375.117959546897,48.160107805428055,10555.48654221826,Past
2023-10-13,5561.4849820754125,468.51058014345483,10408.634448244644,Past
2023-10-14,5645.379463852104,169.25692316772427,10956.807106360568,Past
2023-10-15,5047.857710950021,92.15651389402503,10567.719304678012,Past
